Rating,Company,Average,Lowest,Highest,yr/mo/hr
3.9,Intelligence Node,802122,"6,50,000","13,55,305",/yr
3.9,HSBC Electronic Data Processing India,1289350,"10,23,374","22,00,000",/yr
3.9,iOPEX Technologies,475818,"4,20,786","7,68,760",/yr
3.9,TCG Digital,763944,"3,36,000","15,73,861",/yr
3.9,SLK Group,608018,"2,69,411","12,50,635",/yr
3.9,Prudential plc,860257,"9,68,805","11,81,837",/yr
3.9,Landmark Group,1310517,"16,06,998","16,69,295",/yr
3.9,Limeroad,1026520,"11,67,716","13,98,584",/yr
3.9,Bewakoof Brands,604010,"6,42,799","8,67,225",/yr
3.9,Info Edge,2282417,"22,51,424","34,54,619",/yr
3.9,L&T Financial Services,774819,"8,65,716","10,71,332",/yr
3.9,MOURI Tech,677818,"2,61,822","14,32,724",/yr
3.9,UBS,1024922,"9,74,804","15,87,500",/yr
3.9,AXA,1052730,"10,96,764","15,35,062",/yr
3.9,Ramboll,471601,"5,65,106","6,13,897",/yr
3.9,SBI General Insurance,494386,"5,92,637","6,43,329",/yr
3.9,Hexal,514818,"6,17,057","6,69,989",/yr
3.9,GrowthSpree,529086,"6,35,665","6,87,050",/yr
3.9,IDK,499167,"6,03,144","6,44,773",/yr
3.9,Flex,1048460,"12,58,114","13,63,037",/yr
3.9,PepsiCo,1309860,"15,61,559","17,13,090",/yr
3.9,Disney | Star,1720148,"20,54,151","22,46,219",/yr
3.9,StoneX,1366068,"16,37,280","17,77,891",/yr
3.9,Sabre,2143896,"25,58,930","28,00,810",/yr
3.9,Dunn Lumber,793884,"9,50,978","10,33,732",/yr
3.9,Prodotti Poliplastici,419768,"5,05,143","5,44,276",/yr
3.9,Namaste Credit,637002,"7,67,592","8,24,912",/yr
3.9,3M,732269,"8,82,287","9,48,386",/yr
3.9,Grant Thornton,797964,"9,61,440","10,33,470",/yr
3.9,Q Management,85446,"1,03,308","1,10,307",/yr
3.9,Hyperthink Systems,840150,"10,09,288","10,91,088",/yr
3.9,Tower Research Capital LLC,998447,"12,05,309","12,90,808",/yr
3.9,Lobo Staffing Solutions,695320,"8,36,403","9,01,896",/yr
3.9,Razer,995916,"12,00,633","12,89,158",/yr
3.9,US Tech Solutions,2439009,"29,19,000","31,78,523",/yr
3.9,Open Systems Technologies,727216,"8,75,214","9,42,826",/yr
3.9,Unifytech,260009,"3,12,822","3,37,200",/yr
3.9,Samsung C&T,547608,"6,52,642","7,16,379",/yr
3.9,Lovely Professional University,1457070,"17,45,449","18,97,227",/yr
3.9,Moglix,1075512,"12,95,036","13,93,744",/yr
3.9,Emorphis,712520,"8,52,156","9,29,145",/yr
3.9,Karan,129909,"1,56,337","1,68,436",/yr
3.9,Invendis Technologies India,1251170,"14,98,133","16,29,791",/yr
3.9,Toyota North America,756305,"9,10,223","9,80,540",/yr
3.9,University of Pune,824817,"9,89,293","10,72,749",/yr
3.9,BlueStacks,1386143,"16,56,488","18,08,870",/yr
3.9,Staunch It Solutions (India),1226441,"14,72,110","15,93,993",/yr
3.9,Cholamandalam Investment & Finance,929761,"11,10,678","12,13,724",/yr
3.9,Equinor,2218297,"26,79,119","28,66,623",/yr
3.9,Tommy Bahama,564428,"6,74,051","7,37,018",/yr
3.9,The Judge Group,245009,"2,94,768","3,17,754",/yr
3.9,Sportz Village Schools,25582,"30,817","33,138",/yr
3.9,National Pork Board,75073,"89,736","97,946",/yr
3.9,CIPL,71772,"85,863","93,568",/yr
